"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2004-01-01,10200
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2005-01-01,10700
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2006-01-01,10600
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2007-01-01,10800
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2008-01-01,10850
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2009-01-01,10950
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2010-01-01,11100
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2011-01-01,11100
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2012-01-01,11300
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2013-01-01,11500
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2014-01-01,14400
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2015-01-01,13944
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2016-01-01,13984
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2017-01-01,14400
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2018-01-01,14570
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2019-01-01,14725
